Frequency,PhaseNoise
4096407.011,-147.6179852
4170182.282,-147.6363594
4245286.227,-147.7016802
4321742.776,-147.7463733
4399576.288,-147.5898182
4478811.562,-147.8176406
4559473.844,-147.8442508
4641588.834,-147.908876
4725182.694,-147.9350593
4810282.058,-147.9782553
4896914.041,-147.9707868
4985106.245,-147.922013
5074886.768,-148.094948
5166284.216,-148.2319395
5259327.709,-148.2422365
5354046.892,-148.2513056
5450471.945,-148.3990842
5548633.588,-148.44375
5648563.098,-148.5373131
5750292.314,-148.5888551
5853853.648,-148.4449948
5959280.096,-148.6658318
6066605.248,-148.6864343
6175863.299,-148.7648173
6287089.06,-148.8409582
6400317.97,-148.6873548
6515586.104,-148.681472
6632930.188,-148.6831915
6752387.61,-148.675938
6873996.431,-148.9618616
6997795.397,-148.9543701
7123823.95,-149.0936589
7252122.247,-149.0854489
7382731.164,-148.3073394
7515692.316,-148.8706139
7651048.064,-148.9112809
7788841.536,-147.3422977
7929116.634,-147.3307054
8071918.052,-149.162513
8217291.288,-149.1545621
8365282.659,-149.545682
8515939.318,-149.4368967
8669309.266,-149.4285556
8825441.369,-149.4309316
8984385.372,-149.7011953
9146191.917,-149.6949635
9310912.558,-149.624839
9478599.777,-149.6494454
9649307,-149.7902105
9823088.618,-149.8269158
10000000,-149.8803193
10180097.51,-149.9204891
10363438.54,-149.9164566
10550081.48,-150.2650988
10740085.83,-150.2679374
10933512.1,-150.2007918
11130421.93,-150.1964775
11330878.06,-150.3247224
11534944.36,-150.2867722
11742685.83,-149.933324
11954168.68,-150.2760351
12169460.29,-150.50061
12388629.24,-150.6337828
12611745.37,-150.7182839
12838879.77,-150.6834324
13070104.8,-150.4888037
13305494.13,-150.4836775
13545122.77,-150.5553553
13789067.06,-150.8345201
14037404.73,-150.8847507
14290214.89,-150.9468073
14547578.11,-150.9649517
14809576.37,-149.5845552
15076293.16,-150.7995639
15347813.44,-150.8376673
15624223.75,-150.859801
15905612.13,-150.8876817
